3eVa5w3URK5duf6eyVDbu9,8127798,85,{k-pop}
1HY2Jd0NmPuamShAr6KMms,32915877,92,"{art pop, dance pop, pop}"
2YZyLoL8N0Wb9xBt1NhZWg,34489211,94,"{conscious hip hop, hip hop, rap, west coast rap}"
6qqNVTkY8uBg9cP3Jd7DAH,102653261,96,"{art pop, pop}"
4tuJ0bMpJh08umKkEXKUI5,3192983,90,{alt z}
1oSPZhvZMIrWW5I41kPkkY,9730251,88,{k-pop}
4iHNK0tOyZPYnBU7nGAgpQ,10655016,83,"{dance pop, pop, urban contemporary}"
1iCnM8foFssWlPRLfAbIwo,541552,81,{bedroom pop}
5vV3bFXnN6D6N3Nj4xRvaV,8584335,85,{k-pop}
5lpH0xAS4fVfLkACg9DAuM,2850083,77,"{new romantic, new wave, new wave pop, soft rock}"
3l9G1G9MxH6DaRhwLklaf5,3293325,88,{corrido}
74KM79TiuVKeVCqs8QtB0B,15277523,94,{pop}
1Xyo4u8uXC1ZmMpatF05PJ,94880636,96,"{canadian contemporary r&b, canadian pop, pop}"
4cPHsZM98sKzmV26wlwD2W,406195,73,"{adult standards, easy listening, lounge, rockabilly}"
5j4HeCoUlzhfWtjAfM1acR,3464725,72,"{belgian pop, g-house}"
1mcTU81TzQhprhouKaTkpq,24480064,93,"{puerto rican pop, reggaeton, trap latino, urbano latino}"
7GlBOeep6PqTfFi59PTUUN,3982919,88,{indie pop}
22wbnEMDvgVIAGdFeek6ET,3964537,86,{singer-songwriter pop}
790FomKkXshlbRYZFtlgla,52265295,91,"{reggaeton, reggaeton colombiano, urbano latino}"
38EmEgXkgK51MT2tPY0EoC,52763,71,{}
66CXWjxzNUsdJxJ2JdwvnR,101241265,93,{pop}
7Ln80lUS6He07XvHI8qqHH,27475793,88,"{garage rock, modern rock, permanent wave, rock, sheffield indie}"
77SW9BnxLY8rJ0RciFqkHh,18590377,86,"{modern alternative rock, modern rock, pop}"
6ltzsmQQbmdoHHbLZ4ZN25,1781965,78,"{indie folk, stomp and holler}"
0du5cEVh5yTK9QJze8zA0C,62633601,96,"{dance pop, pop}"
5WUlDfRSoLAfcVSX1WnrxN,28960123,86,{pop}
33qOK5uJ8AR2xuQQAhHump,3440911,87,{}
49e4v89VmlDcFCMyDv9wQ9,1772820,76,"{adult standards, easy listening, lounge, vocal jazz}"
4gzpq5DPGxSnKTe4SA8HAU,54849008,91,"{permanent wave, pop}"
4V8LLVI7PbaPR0K2TGSxFF,17873698,95,"{hip hop, rap}"
3y2cIKLjiOlp1Np37WiUdH,803992,80,"{modern country pop, pop rap}"
2qoQgPAilErOKCwE2Y8wOG,1376076,83,{southern hip hop}
246dkjvS1zLTtiykXe5h60,45853554,91,"{dfw rap, melodic rap, pop, rap}"
46UMQ0cW8ToR8egkBRwAxZ,251721,70,{pop soul}
4sj6D0zlMOl25nprDJBiU9,551700,73,"{adult standards, easy listening}"
2sSGPbdZJkaSE2AbcGOACx,1702153,80,"{bedroom pop, la indie}"
2tIP7SsRs7vjIcLrU85W8J,5859977,85,{australian hip hop}
4oUHIQIBe0LHzYfvXNW4QM,11177271,90,{contemporary country}
3BmGtnKgCSGYIUhmivXKWX,10644785,78,"{dance pop, pop, talent show}"
2wzMOQwNT6ZvVB4amvhFAH,604044,63,"{celtic punk, celtic rock, folk punk, punk}"
1GxkXlMwML1oSg5eLPiAz3,6472269,83,"{adult standards, canadian pop, jazz pop, lounge}"
2RQXRUsr4IW1f3mKyKsy4B,3577392,86,"{pov: indie, singer-songwriter pop}"
7CyeXFnOrfC1N6z4naIpgo,343113,72,"{brill building pop, classic girl group, motown, rock-and-roll}"
3PhoLpVuITZKcymswpck5b,14061673,84,"{glam rock, mellow gold, piano rock, rock}"
3bO19AOone0ubCsfDXDtYt,821059,80,{singer-songwriter pop}
0wi4yTYlGtEnbGo4ltZTib,160591,64,"{classic uk pop, rockabilly}"
2FXC3k01G6Gw61bmprjgqS,8080225,86,"{irish singer-songwriter, modern rock, pop, pov: indie}"
7Ez6lTtSMjMf2YSYpukP1I,259034,75,{}
40ZNYROS4zLfyyBSs2PGe2,5556240,90,{classic oklahoma country}
718COspgdWOnwOFpJHRZHS,11744969,87,"{contemporary country, country}"
5Ppie0uPnbnvGBYRwYmlt0,575291,77,"{contemporary country, modern country pop}"
6vWDO969PvNqNYHIOW5v0m,39033477,87,"{pop, r&b}"
64KEffDW9EtZ1y2vBYgq8T,33906667,85,"{brostep, edm, pop, progressive electro house}"
4YLtscXsxbVgi031ovDDdh,7755671,83,"{contemporary country, outlaw country}"
4sCKpwwEsgReZxjtKFm2A0,255444,71,{modern country pop}
6BRxQ8cD3eqnrVj6WKDok8,235077,74,{modern country pop}
340PS4ZcZ4UCBgyrXzEjcp,310125,71,{}
6TIYQ3jFPwQSRmorSezPxX,5415248,79,"{ohio hip hop, pop rap}"
6tPHARSq45lQ8BSALCfkFC,957092,76,"{contemporary country, modern country pop}"
63wjVVauFUQ4gBw6QXTT5N,151771,67,{modern country pop}
4j96cMcT8GRi11qbvo1cLQ,203116,73,{}
3RqBeV12Tt7A8xH3zBDDUF,1228044,74,"{contemporary country, country}"
0ChjBYedhZTQnWZWQYg15U,196900,71,{modern country pop}
3EVsC9ZK7QMDuK4FPcZaEq,152091,68,"{classic oklahoma country, modern country pop, oklahoma country, texas country}"
78YqeIji3mgAS2K1Maca6x,1755842,72,"{contemporary country, country road, modern country rock}"
6IKlXZEFOvk9itrP1s0knJ,564937,73,{modern country pop}
19k8AgwwTSxeaxkOuCQEJs,4615408,83,"{country rap, modern country pop, nashville hip hop, tennessee hip hop}"
5QNm7E7RU2m64l6Gliu8Oy,1171981,75,"{contemporary country, modern country pop}"
1Tie3AZgLQZqYEp8Fv4zOZ,847128,74,"{classic texas country, modern country pop}"
4H4M0Y4cN39zIVDHvdW53x,307053,69,{modern country pop}
08GfvCW09pv2QP4y9sle2a,464240,74,{modern country pop}
3win9vGIxFfBRag9S63wwf,1431104,77,"{contemporary country, modern country pop}"
6y8XlgIV8BLlIg1tT1R10i,1592110,71,"{contemporary country, country, country road, modern country rock}"
4FGPzWzgjURDNT7JQ8pYgH,308256,73,{modern country pop}
